id,geo_cluster
288726,0
289665,0
289703,0
292637,0
292800,0
294227,0
294242,0
294259,0
294263,0
294280,0
295231,0
295998,0
296361,0
296717,0
298759,0
299062,0
299531,0
301034,0
571564,0
573671,0
576227,0
576916,0
577243,0
579251,0
581488,0
582372,0
583352,0
587519,0
587698,0
587740,0
590903,0
591135,0
591565,0
593000,0
594036,0
594732,0
597544,0
597624,0
597668,0
599595,0
600775,0
600877,0
602070,0
604204,0
606269,0
607781,0
609213,0
611156,0
613528,0
614269,0
616249,0
618916,0
622410,0
627949,0
628078,0
629855,0
634353,0
637426,0
638894,0
639199,-1
640899,0
640901,0
640908,0
640990,0
641012,0
641768,0
642682,0
643328,0
643591,0
644575,2
645075,0
645693,0
645922,0
646458,0
303264,0
305245,0
306799,0
310325,0
310338,0
310524,0
312415,0
314982,0
318021,0
320877,0
321014,0
321136,0
322037,0
325429,0
328040,0
328744,0
332208,0
333323,0
334607,0
336055,0
342995,0
343276,0
344092,0
350168,0
351859,0
352651,0
353317,0
355563,0
363016,0
367810,0
373618,0
380730,0
385824,0
386744,0
386799,0
387666,0
389482,0
394111,0
396636,0
397034,0
400039,0
408491,0
408983,0
409262,0
411918,0
413504,0
415304,0
416557,0
417685,0
423015,0
423275,0
424767,0
425423,0
430427,0
430665,0
431865,0
432090,0
432823,0
433218,0
433414,0
433914,0
437352,0
437906,0
439750,0
439870,0
442636,0
442649,0
443646,0
444430,0
447766,0
448011,0
449660,0
450577,0
452068,0
453094,0
453255,0
453317,0
454334,0
454763,0
790767,0
794156,0
794281,0
794425,0
794427,0
794496,0
795641,0
796232,0
797696,0
798008,0
799924,0
647580,0
457829,0
459066,0
460999,0
463042,0
464231,0
465706,0
466277,0
466457,0
467569,0
467866,0
470330,0
470498,0
471758,0
471845,0
476983,0
478832,0
479002,0
479285,0
483414,0
484728,0
487684,0
488958,0
491123,0
491529,0
495249,0
496166,0
498052,0
499249,0
499763,0
500886,0
503460,-1
504322,0
504362,0
504437,0
505231,0
505315,0
505581,0
507393,0
512022,0
513343,0
513688,0
514548,0
517654,0
518566,0
519310,0
521018,0
521522,0
523123,0
528485,0
528615,0
530576,0
531455,0
532288,0
536578,0
540057,0
541725,0
543792,0
544039,0
545261,0
545586,0
545651,0
548184,0
549873,0
550653,0
550858,0
552502,0
552519,0
552639,0
553872,0
553903,0
557487,0
560078,0
563442,0
565814,0
566712,0
568661,0
568684,0
570218,0
570797,0
695465,0
698094,0
698132,0
698882,0
699472,0
703745,0
703971,0
704838,0
705749,2
705997,0
707396,0
707736,0
649561,0
649972,0
651375,0
651648,0
655472,0
657198,0
658366,0
658932,0
660036,0
664047,0
665394,0
666220,0
666613,0
666837,0
667375,0
668691,0
669640,0
680104,0
680225,0
680338,0
681599,0
684808,0
684991,0
689329,0
690603,0
690934,0
692137,0
695216,0
875111,0
876355,0
878142,0
880424,0
880596,0
883480,0
886808,0
887355,0
890794,0
890839,0
890855,0
892463,0
893413,0
895368,0
896535,0
903906,0
904060,0
916105,0
918049,0
918239,0
919491,0
919830,0
920930,0
921500,0
924600,0
925090,0
927408,0
929032,0
931352,0
932277,0
936218,0
938022,0
939657,0
940116,0
944049,0
944183,0
944840,0
945297,0
949159,0
951365,0
951439,0
951935,0
953314,0
956412,0
958444,-1
959349,0
968827,0
973128,0
973535,0
973653,0
975250,0
975990,0
978386,0
982038,0
804194,0
805028,0
805218,0
808476,0
808836,0
810346,0
811238,0
812671,0
813554,0
814327,0
816888,0
817113,0
818084,0
818325,0
818481,0
818518,0
819206,0
819228,0
819893,0
819956,0
820801,0
820953,0
821135,0
824421,0
825129,0
825193,0
825550,0
826685,0
828130,0
828553,0
828616,0
829935,0
831911,0
832596,0
836720,0
837503,0
838070,0
838586,0
840731,0
840794,0
841075,0
841484,0
842167,0
842494,0
844319,0
846549,0
846854,0
847648,0
848071,0
848170,0
848718,0
849603,0
850148,0
850338,0
850517,0
850712,0
850943,0
851772,0
852118,0
852632,0
853142,0
854396,0
856440,0
856918,0
857810,0
862890,0
864981,0
867020,0
867749,0
868548,0
869522,0
872210,0
873701,0
874706,0
1042806,0
1043046,0
1044731,0
1045897,0
1049224,0
1056445,0
1057022,0
1059607,0
1060019,0
1063020,0
1069287,0
1072481,0
1076324,0
1080543,0
1080839,0
1083888,0
982409,0
