neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,log_price
Manhattan,East Village,Entire home/apt,349.0,30,171,1.37,1,103,2,80.0,5.857933
Brooklyn,Gowanus,Entire home/apt,209.0,30,248,1.54,2,286,2,168.0,5.3471074
Brooklyn,Williamsburg,Entire home/apt,157.0,30,87,0.5,1,33,6,63.0,5.062595
Manhattan,Upper West Side,Entire home/apt,190.0,30,38,0.23,1,230,0,527.0,5.2522736
Manhattan,Nolita,Entire home/apt,650.0,30,248,1.41,1,141,1,356.0,6.47851
Manhattan,Chelsea,Entire home/apt,291.0,30,1,0.1,1,87,1,305.0,5.676754
Manhattan,Chinatown,Entire home/apt,120.0,30,422,2.4,1,330,3,274.0,4.7957907
Brooklyn,Bedford-Stuyvesant,Private room,222.0,30,20,0.11,1,364,0,4689.0,5.4071717
Brooklyn,Greenpoint,Hotel room,334.0,1,70,0.4,29,110,4,83.0,5.814131
Brooklyn,Greenpoint,Hotel room,381.0,1,10,0.06,29,84,0,1055.0,5.9454207
Brooklyn,Greenpoint,Private room,400.0,1,10,0.06,29,121,0,1015.0,5.9939613
Brooklyn,Greenpoint,Private room,400.0,1,2,0.01,29,121,0,5196.0,5.9939613
Manhattan,East Village,Entire home/apt,159.0,30,285,1.64,1,362,4,76.0,5.075174
Brooklyn,Bedford-Stuyvesant,Entire home/apt,165.0,30,83,0.71,1,263,2,218.0,5.1119876
Brooklyn,Bushwick,Entire home/apt,56.0,30,251,1.44,1,324,3,62.0,4.0430512
Brooklyn,Downtown Brooklyn,Private room,166.0,30,5,0.03,1,313,0,3880.0,5.117994
Brooklyn,Greenpoint,Hotel room,334.0,1,37,0.22,29,111,3,55.0,5.814131
Brooklyn,Clinton Hill,Entire home/apt,800.0,30,0,0.47,3,358,0,167.0,6.685861
Manhattan,Lower East Side,Entire home/apt,386.0,30,81,0.47,1,179,0,2780.0,5.9584246
Brooklyn,Bedford-Stuyvesant,Entire home/apt,211.0,30,173,1.0,2,255,0,640.0,5.3565865
Brooklyn,Crown Heights,Entire home/apt,157.0,30,169,0.97,1,91,18,13.0,5.062595
Brooklyn,Clinton Hill,Private room,171.0,30,11,0.06,3,364,0,2062.0,5.1474943
Manhattan,Chelsea,Entire home/apt,150.0,30,18,0.11,1,214,0,3525.0,5.0172796
Manhattan,Washington Heights,Private room,62.0,30,150,0.87,1,173,0,1452.0,4.1431346
Brooklyn,Gowanus,Entire home/apt,150.0,30,124,0.72,1,77,2,123.0,5.0172796
Brooklyn,Greenpoint,Private room,590.0,1,8,0.05,29,0,0,3935.0,6.381816
